# file created on 2017-06-30 13:14:43.651948
# dataset                                                                                                                                                    tag                nevts_tot  nevts_eff  xsec      scale1fb  
/W4JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v1/MINIAODSIM               CMS4_V00-00-02_toptag   18751462   18751462    599.68    0.031981
/WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM                          CMS4_V00-00-02_toptag    1703772     942046     3.058   0.0032461
/ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM         CMS4_V00-00-02_toptag    3981250    3905798     0.215  5.5046e-05
/TTJets_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM                                                         CMS4_V00-00-12             35505603   13247077    831.74    0.062787
/TTJets_SingleLeptFromT_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM                                          CMS4_V09-04-11             50016934   50016934    182.67   0.0036522
/TTJets_SingleLeptFromT_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM                                          CMS4_V09-04-13             50016934   50016934    182.67   0.0036522
/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM                        CMS4_V09-04-13             76284152   76284152    365.34   0.0047893
/TTJets_SingleLeptFromT_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM                                          CMS4_V09-04-14             61597324   61528630    182.67   0.0029689
/TTJets_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM                                                         CMS4_V09-04-14            153596015   57330267     831.7    0.014507
/TTJets_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM                   CMS4_V00-00-02_toptags     41500630   14363212     831.74  0.0579077
/TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM                      CMS4_V00-00-02_toptags      1000000     100000     831.74   1.000
/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM               CMS4_V00-00-02_toptags      24350202   24350202    87.315   1.000
/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM   CMS4_V00-00-02_toptags      48266353   48266353    182.67   1.000
/SMS-T2tt_mStop-650_mLSP-350_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM                  CMS4_V09-04-17              99440       99440    0.107045   1.000
/SMS-T1tttt_mGluino-1200_mLSP-800_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM             CMS4_V10-02-05              147547     147547    0.098500  0.00066758 
/SMS-T2tt_mStop-650_mLSP-350_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                             CMS4_V10-02-10              183916     183916    0.125  0.00058179
/SMS-T1tttt_mGluino-1200_mLSP-800_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM             CMS4_V10-02-10              147547     147547   0.098500 0.0006675
/SMS-T2tt_mStop-1200_mLSP-100_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM                 CMS4_V10-02-10              202760     202760   0.0017   8.384e-06
/SMS-T2tt_mStop-1200_mLSP-100_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                            CMS4_V10-02-10              362191     362191   0.0017   4.694e-06
/SMS-T2tt_mStop-650_mLSP-350_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                             CMS4_V10-02-10              183916     183916   0.125    0.0006796
/SMS-T2tt_mStop-650_mLSP-350_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM                  CMS4_V10-02-10              91673       91673   0.125    0.0013635
/SMS-T2tt_mStop-650_mLSP-350_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM                CMS4_V10-02-10              100070     100070   0.125    0.0012491
/SMS-T2tt_mStop-850_mLSP-100_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM                  CMS4_V10-02-10              222410     222410   0.0216   9.711e-05
/SMS-T2tt_mStop-850_mLSP-100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM                CMS4_V10-02-10              235029     235029   0.0216   9.190e-05
/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM                               CMS4_V10-02-10           180935349  145141547     49141     0.33857 
/WJetsToLNu_1J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM                               CMS4_V10-02-10            89838274   41170006    8045.1     0.19541 
/WJetsToLNu_1J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM                          CMS4_V10-02-10           169914803   77742397    8045.1     0.10348 
/WJetsToLNu_2J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM                               CMS4_V10-02-10            98285948   29966076    3159.9     0.10545 
/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                                          CMS4_V10-02-10           192288265  154197209     49141     0.31869 
/WJetsToLNu_1J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                                          CMS4_V10-02-10           171669288   79445754    8045.1     0.10127 
/WJetsToLNu_2J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                                          CMS4_V10-02-10            98362049   30320519    3159.9     0.10422 
/TTJets_DiLept_genMET-80_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                                 CMS4_V10-02-04            58442000   58374898    35.989  0.00061652 
/TTJets_SingleLeptFromT_genMET-80_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                        CMS4_V10-02-04            82792524   82693878    53.607  0.00064826 
/TTJets_SingleLeptFromTbar_genMET-80_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                     CMS4_V10-02-04            78969020   78875012    53.607  0.00067965 
/ttH_HToInvisible_M125_13TeV_powheg_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM                         CMS4_V10-02-05       6000000    5885626    0.5071  8.6159e-05 1|280450|2637,10|221240|2129,11|297070|2853,12|299900|2814,13|272160|2553,14|292590|2821,15|279840|2713,16|263480|2489,17|261400|2433,18|297920|2909,19|279710|2791,2|266420|2548,20|296480|2884,21|229290|2195,22|239770|2298,23|73390|728,3|278040|2643,4|262750|2479,5|299050|2781,6|240540|2251,7|220290|2069,8|249630|2399,9|298590|2770
/ttH_HToInvisible_M125_13TeV_TuneCP5_powheg_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM                             CMS4_V10-02-05       5980000    5855072    0.5071  8.6609e-05 1|208000|2190,10|232000|2524,11|230000|2331,12|210000|2127,13|244000|2533,14|236000|2508,15|192000|2067,16|244000|2591,17|242000|2477,18|226000|2363,19|210000|2221,2|210000|2173,20|200000|2083,21|232000|2411,22|240000|2480,23|216000|2325,24|250000|2675,25|248000|2652,26|248000|2572,27|106000|1134,3|230000|2371,4|232000|2416,5|210000|2139,6|248000|2510,7|206000|2118,8|194000|1967,9|236000|2506
/ttH_HToInvisible_M125_TuneCP5_PSweights_13TeV_powheg_pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM                              CMS4_V10-02-04       5775000    5655248    0.5071  8.9669e-05 1|264000|2807,10|264000|2733,11|276000|2863,12|270000|2757,13|291000|2980,14|300000|3183,15|279000|2831,16|270000|2798,17|291000|2959,18|297000|3075,19|273000|2868,2|300000|3086,20|294000|2959,21|126000|1318,3|288000|3056,4|294000|2931,5|297000|3111,6|276000|2938,7|261000|2724,8|267000|2786,9|297000|3113
